time,temperature,humidity,pressure
2014-02-17T22:50:00,1,87,1013
2014-02-17T01:20:00,3,87,1002
2014-02-17T11:20:00,7,66,1007
2014-02-17T04:50:00,3,81,1003
2014-02-17T10:50:00,7,66,1007
2014-02-17T04:00:00,3,74,1003
2014-02-17T03:20:00,3,81,1002
2014-02-17T04:20:00,3,81,1002
2014-02-17T23:20:00,1,87,1013
2014-02-17T20:20:00,2,81,1012
2014-02-17T07:20:00,3,81,1004
2014-02-17T20:00:00,3,70,1013
2014-02-17T07:00:00,3,79,1004
2014-02-17T07:50:00,3,81,1004
2014-02-17T09:50:00,5,76,1006
2014-02-17T06:50:00,3,81,1004
2014-02-17T06:20:00,3,81,1003
2014-02-17T06:00:00,3,73,1004
2014-02-17T19:20:00,3,81,1012
2014-02-17T23:00:00,1,82,1014
2014-02-17T12:00:00,8,49,1008
2014-02-17T20:50:00,2,81,1013
2014-02-17T19:00:00,3,69,1012
2014-02-17T10:00:00,6,63,1007
2014-02-17T08:00:00,3,75,1005
2014-02-17T08:20:00,3,87,1005
2014-02-17T21:20:00,2,81,1013
2014-02-17T21:50:00,2,87,1013
2014-02-17T13:00:00,7,51,1009
2014-02-17T05:00:00,3,78,1004
2014-02-17T13:20:00,8,57,1008
2014-02-17T05:20:00,3,81,1003
2014-02-17T05:50:00,3,81,1003
2014-02-17T00:50:00,3,87,1001
2014-02-17T09:20:00,5,76,1006
2014-02-17T01:50:00,3,87,1002
2014-02-17T18:50:00,3,75,1012
2014-02-17T03:00:00,3,74,1003
2014-02-17T02:20:00,3,87,1002
2014-02-17T14:50:00,8,53,1009
2014-02-17T02:00:00,3,77,1002
2014-02-17T18:00:00,4,57,1012
2014-02-17T17:00:00,6,42,1011
2014-02-17T10:20:00,6,70,1006
2014-02-17T17:20:00,6,57,1011
2014-02-17T09:00:00,4,73,1006
2014-02-17T14:20:00,7,61,1009
2014-02-17T11:00:00,7,57,1007
2014-02-17T08:50:00,4,81,1005
2014-02-17T14:00:00,7,48,1010
